subset_index,mean_metric,std_metric,iqr,range_metric
0,3.3819999999999997,0.3990848116236534,0.5,2.4000000000000004
1,4.828,0.7099694117753004,1.1000000000000005,3.6000000000000005
2,6.145,0.6551081335677849,0.8999999999999995,3.3
3,4.508,0.540422580631644,0.7250000000000005,2.3000000000000003
4,3.372,0.5373109251662676,0.7000000000000002,2.7
5,2.327,0.426840636880943,0.7000000000000002,2.1999999999999997
6,5.612,0.5617936642684049,0.7249999999999996,2.8
7,7.553,0.6429815335802832,0.9000000000000004,3.1000000000000005
8,6.599,0.6512606268157194,0.9000000000000004,3.3
9,5.696000000000001,0.5776860844102201,0.7999999999999998,2.8999999999999995
