subset_index,mean_metric,std_metric,iqr,range_metric
0,0.226,0.0690776170095435,0.09999999999999998,0.30000000000000004
1,0.314,0.1310563145207341,0.2,0.6
2,0.7509999999999999,0.28479835148768157,0.30000000000000004,1.3
3,0.309,0.15769488503967646,0.2,0.7000000000000001
4,0.22400000000000003,0.11816783134015943,0.19999999999999998,0.6
5,0.268,0.15691469727919755,0.30000000000000004,0.6
6,0.562,0.1502724797886099,0.29999999999999993,0.6000000000000001
7,0.926,0.192600491938493,0.30000000000000004,0.9999999999999999
8,0.556,0.23498119417553748,0.29999999999999993,0.9000000000000001
9,0.41100000000000003,0.1999469626645723,0.3,0.7000000000000001
