subset_index,mean_metric,std_metric,iqr,range_metric
0,0.973163978099823,0.0006101216319103964,0.0006994664669036643,0.0027105033397674116
1,0.9724901514649392,0.0005390079290411797,0.0008242771029471907,0.002493494749069236
2,0.9722292233705521,0.0007842180960488814,0.0010905146598816362,0.004163235425949097
3,0.9741143319010734,0.0008104785481611479,0.0011151462793349554,0.003836899995803833
4,0.9744860332012176,0.0007424685414889727,0.000979095697402954,0.004066091775894121
5,0.9740429656505585,0.000761907156596376,0.0010414272546768188,0.004114276170730569
6,0.9723176994919777,0.0005216309715251647,0.00073966383934021,0.002541011571884133
7,0.9714992050528527,0.0006318375092657197,0.0008545368909835815,0.0029473602771759033
8,0.971912929713726,0.000677432364669888,0.000918304920196511,0.003187960386276334
9,0.972082677423954,0.0005926002124432686,0.0008306145668030007,0.0031492412090301514
