subset_index,mean_metric,std_metric,iqr,range_metric
0,1.568,0.2078655354022903,0.30000000000000004,0.8
1,1.786,0.19644311896805894,0.19999999999999996,0.9000000000000001
2,2.926,0.3089964204951052,0.3999999999999999,1.5
3,2.411,0.24736796294368657,0.3999999999999999,1.1
4,2.444,0.32854746132550516,0.44999999999999973,1.4000000000000001
5,2.363,0.28200401172015727,0.2999999999999998,1.5
6,1.781,0.22683371740888816,0.2999999999999998,1.0999999999999999
7,1.4609999999999999,0.21737413634449507,0.30000000000000004,1.1
8,1.3940000000000001,0.20734979959946764,0.19999999999999996,0.9
9,2.008,0.2501232019657836,0.30000000000000004,1.4
