subset_index,mean_metric,std_metric,iqr,range_metric
0,0.9697290171980858,0.0006269050429342052,0.0005046188831329124,0.003864902257919356
1,0.9709305203557014,0.0004931484263023225,0.0005052953958512019,0.0028888940811157005
2,0.9680785074830055,0.0004601292741556111,0.0005890011787414995,0.002332133054733343
3,0.9676970986127853,0.0009214075175248506,0.0011348620057105574,0.004933774471282959
4,0.9697764058113099,0.0008751365749111882,0.00107579827308657,0.004971551895141646
5,0.9656367660164833,0.0006042592625055321,0.0007552683353424516,0.003970038890838579
6,0.9700409631729126,0.0006234870063698742,0.000718139111995697,0.0031025052070617898
7,0.9664317663311958,0.0006435315412416661,0.0009835690259931695,0.0027706384658813255
8,0.9708672274947167,0.0004567450944284871,0.000643338263034865,0.0022621273994445357
9,0.9684430606365204,0.0007839969197396498,0.0009380415081978732,0.005358368158340454
