subset_index,mean_metric,std_metric,iqr,range_metric
0,0.6303564045123767,0.04031524474529233,0.046453704688726116,0.21509481668904995
1,0.5124778764528214,0.04439772261842615,0.057036395827508024,0.2418927729108536
2,0.4590061282493828,0.04122673809647099,0.05509680613820794,0.19983312055021796
3,0.4984554077756386,0.03768964434652698,0.049987734937526784,0.18128120153909394
4,0.5056979452838466,0.055874336888351174,0.07709277979798124,0.3141537375691404
5,0.6961014002843298,0.03738603855864959,0.05796966031234996,0.16683704851973924
6,0.5637750694898829,0.05015966355727865,0.06791165084026718,0.26779418736798816
7,0.6467603390473076,0.03964324065154684,0.05003290363123525,0.21152537092426993
8,0.6317951899918487,0.04369673866565456,0.062009490839045056,0.19652529209446234
9,0.5669611152471387,0.04453906114698574,0.05356779321357141,0.2170977838346025
