subset_index,mean_metric,std_metric,iqr,range_metric
0,0.9697272121310234,0.0006870091367991835,0.000543990731239341,0.0037431597709655096
1,0.9709444978237153,0.0004291868950484481,0.000544525682926289,0.0022901594638824463
2,0.968098036468029,0.0005237389454764762,0.0006542846560478877,0.002909350395202681
3,0.9676231840848922,0.0008791151880596024,0.0010318875312805842,0.0044464170932769775
4,0.9698947769403458,0.0007434576410147402,0.000947512686252594,0.004361635446548551
5,0.9656259803175926,0.00064930563784151,0.0008586391806602034,0.003981131315231368
6,0.9700284076333046,0.0006378635223281934,0.0009011849761009216,0.002765518426895097
7,0.9666716202497483,0.0006831032108725772,0.0008844554424286555,0.003475874662399292
8,0.9709061548709869,0.000528185095240242,0.0007660001516341941,0.0024778008460998313
9,0.9684452973008156,0.0007413638210590546,0.0009329795837402788,0.0038560032844543457
