subset_index,task_name,experiment_seed,perm_gen_seed,permutation_index,image_index,image_id,initial_dice,final_dice,iterations_used,reached_cutoff,commit_type,protocol,dice_cutoff,prompt_limit,context_size
0,BUID/Malignant/Ultrasound/0,23,23,0,0,31,1.0794753979581628e-11,0.905188262462616,4,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,0
0,BUID/Malignant/Ultrasound/0,23,23,0,1,75,0.3623168170452118,0.9110438823699952,7,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,1
0,BUID/Malignant/Ultrasound/0,23,23,0,2,28,0.8235622048377991,0.9103915691375732,3,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,2
0,BUID/Malignant/Ultrasound/0,23,23,0,3,107,0.1834073960781097,0.925570547580719,5,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,3
0,BUID/Malignant/Ultrasound/0,23,23,0,4,73,0.8108895421028137,0.9196763634681702,2,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,4
0,BUID/Malignant/Ultrasound/0,23,23,0,5,12,0.3293322324752807,0.9101401567459106,6,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,5
0,BUID/Malignant/Ultrasound/0,23,23,0,6,77,0.7205128073692322,0.9265901446342468,3,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,6
0,BUID/Malignant/Ultrasound/0,23,23,0,7,85,0.3926078975200653,0.9243791699409484,7,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,7
0,BUID/Malignant/Ultrasound/0,23,23,0,8,102,0.2828407287597656,0.912114679813385,8,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,8
0,BUID/Malignant/Ultrasound/0,23,23,0,9,51,0.6910120248794556,0.9306655526161194,4,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,9
0,BUID/Malignant/Ultrasound/0,23,24,1,0,51,2.766599232692513e-12,0.916512966156006,2,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,0
0,BUID/Malignant/Ultrasound/0,23,24,1,1,85,0.1700034886598587,0.9106467366218568,7,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,1
0,BUID/Malignant/Ultrasound/0,23,24,1,2,107,0.1474067717790603,0.9026663303375244,3,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,2
0,BUID/Malignant/Ultrasound/0,23,24,1,3,75,0.5011239647865295,0.9000932574272156,9,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,3
0,BUID/Malignant/Ultrasound/0,23,24,1,4,31,0.6321746706962585,0.9195913672447203,6,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,4
