subset_index,mean_metric,std_metric,iqr,range_metric
0,0.9154375677108765,0.0031977119472791356,0.004641139507293612,0.018766516447067283
1,0.9152202168703079,0.0030984743827262135,0.0042082265019416365,0.01612703204154975
2,0.9192572101950646,0.0028199608492068926,0.004010047018527918,0.01678362488746643
3,0.9139521894454955,0.0031176548465526345,0.004261443018913291,0.014538502693176247
4,0.9127487972974777,0.0025116787296750927,0.0033198252320290056,0.012343269586563177
5,0.9249663589000702,0.0028781784769015095,0.0038996994495391624,0.0155411958694458
6,0.9188688951730728,0.003629658421972118,0.004562222957611106,0.021068972349166826
7,0.9149061803817748,0.002698036412102938,0.003586630523204848,0.012053799629211381
8,0.9160905336141586,0.0029505210280432815,0.003343139588832811,0.01762170791625972
9,0.9161044847965241,0.003005390996668517,0.003494064509868555,0.01616111397743225
