subset_index,mean_metric,std_metric,iqr,range_metric
0,4.615,0.41301429524994415,0.5,2.0
1,4.461,0.3992151390825843,0.5999999999999996,2.1
2,4.747,0.43332284369588325,0.5250000000000004,1.9
3,3.878,0.3688858464034201,0.49999999999999956,1.6999999999999997
4,5.136,0.40738634778749816,0.5,2.2
5,2.066,0.22751179345611108,0.3250000000000002,1.2999999999999998
6,2.88,0.20449494325821804,0.2999999999999998,1.0
7,4.652,0.36858451602657627,0.5,1.9
8,2.853,0.2645579503453054,0.2999999999999998,1.4
9,3.265,0.29623052721238113,0.2999999999999998,1.2999999999999998
