subset_index,task_name,experiment_seed,perm_gen_seed,permutation_index,image_index,image_id,initial_dice,final_dice,iterations_used,reached_cutoff,commit_type,protocol,dice_cutoff,prompt_limit,context_size
0,HipXRay/retrieved_2023-07-10/XRay/0,23,23,0,0,44,9.616561887082486e-12,0.9152435064315796,8,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,0
0,HipXRay/retrieved_2023-07-10/XRay/0,23,23,0,1,40,0.9106833934783936,0.9106833934783936,0,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,1
0,HipXRay/retrieved_2023-07-10/XRay/0,23,23,0,2,69,0.3705892860889435,0.9192625284194946,4,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,2
0,HipXRay/retrieved_2023-07-10/XRay/0,23,23,0,3,19,0.8621593117713928,0.9059228897094728,1,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,3
0,HipXRay/retrieved_2023-07-10/XRay/0,23,23,0,4,42,0.9251598119735718,0.9251598119735718,0,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,4
0,HipXRay/retrieved_2023-07-10/XRay/0,23,23,0,5,77,0.9609131217002868,0.9609131217002868,0,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,5
0,HipXRay/retrieved_2023-07-10/XRay/0,23,23,0,6,49,0.9450194239616394,0.9450194239616394,0,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,6
0,HipXRay/retrieved_2023-07-10/XRay/0,23,23,0,7,47,0.9511058926582336,0.9511058926582336,0,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,7
0,HipXRay/retrieved_2023-07-10/XRay/0,23,23,0,8,60,0.7778744101524353,0.9303610920906068,3,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,8
0,HipXRay/retrieved_2023-07-10/XRay/0,23,23,0,9,52,0.9382147789001464,0.9382147789001464,0,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,9
0,HipXRay/retrieved_2023-07-10/XRay/0,23,24,1,0,52,7.691437764467679e-12,0.9242597222328186,12,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,0
0,HipXRay/retrieved_2023-07-10/XRay/0,23,24,1,1,47,0.7302743792533875,0.913938581943512,5,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,1
0,HipXRay/retrieved_2023-07-10/XRay/0,23,24,1,2,19,0.9223231077194214,0.9223231077194214,0,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,2
0,HipXRay/retrieved_2023-07-10/XRay/0,23,24,1,3,40,0.8391527533531189,0.9112409949302672,3,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,3
0,HipXRay/retrieved_2023-07-10/XRay/0,23,24,1,4,44,0.9378121495246888,0.9378121495246888,0,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,4
0,HipXRay/retrieved_2023-07-10/XRay/0,23,24,1,5,69,0.8200793862342834,0.915602445602417,1,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,5
0,HipXRay/retrieved_2023-07-10/XRay/0,23,24,1,6,60,0.7587620615959167,0.9278573989868164,3,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,6
0,HipXRay/retrieved_2023-07-10/XRay/0,23,24,1,7,49,0.9359758496284484,0.9359758496284484,0,True,ground_truth,"1_init_pos,0_init_neg,1_corrections",0.9,20,7
