subset_index,mean_metric,std_metric,iqr,range_metric
0,0.229,0.06558978733019495,0.09999999999999998,0.30000000000000004
1,0.314,0.1310563145207341,0.2,0.6
2,0.748,0.27869827281977777,0.30000000000000004,1.3
3,0.319,0.1631105468847754,0.2,0.7000000000000001
4,0.22699999999999998,0.11879444941629728,0.12499999999999997,0.6
5,0.268,0.15691469727919755,0.30000000000000004,0.6
6,0.561,0.15102010034121519,0.29999999999999993,0.6000000000000001
7,0.929,0.19242996889594127,0.22499999999999987,1.1
8,0.551,0.24015777642157995,0.29999999999999993,0.9000000000000001
9,0.41200000000000003,0.1991294183502911,0.3,0.7000000000000001
