variant,variant_label,family,commit_type,dice_cutoff,context_size,n_tasks,iqr_rel_mean,iqr_rel_ci_lo,iqr_rel_ci_hi
commit_label_90,Label 0.90,ACDC,ground_truth,0.9,0,6,1.0417225008651632,0.6562157602493685,1.6751471564778653
commit_label_90,Label 0.90,ACDC,ground_truth,0.9,1,6,1.0,1.0,1.0
commit_label_90,Label 0.90,ACDC,ground_truth,0.9,2,6,1.0860648796088148,0.8805019605068933,1.303258913963963
commit_label_90,Label 0.90,ACDC,ground_truth,0.9,4,6,0.844802937084618,0.6861706104635421,1.0069062288871826
commit_label_90,Label 0.90,ACDC,ground_truth,0.9,8,6,0.8247193623137115,0.5186860186532033,1.0698111379433028
commit_label_90,Label 0.90,ACDC,ground_truth,0.9,10,6,0.639883458352953,0.3577173588644203,0.8960457860035348
commit_label_90,Label 0.90,BTCV,ground_truth,0.9,0,18,0.6417575171196862,0.5193952264869813,0.7647576879986695
commit_label_90,Label 0.90,BTCV,ground_truth,0.9,1,18,1.0,1.0,1.0
commit_label_90,Label 0.90,BTCV,ground_truth,0.9,2,18,0.8033788036596533,0.7064774213954641,0.9053889885968437
commit_label_90,Label 0.90,BTCV,ground_truth,0.9,4,18,0.6953860599250031,0.5882651710178963,0.797669375096017
commit_label_90,Label 0.90,BTCV,ground_truth,0.9,8,18,0.648442206954652,0.5139151607676279,0.7818650753619508
commit_label_90,Label 0.90,BTCV,ground_truth,0.9,10,18,0.4755543100079088,0.3496686329744116,0.6159073520399698
commit_label_90,Label 0.90,HipXRay,ground_truth,0.9,0,4,0.6723950032392387,0.6670743355129718,0.6777156709655058
commit_label_90,Label 0.90,HipXRay,ground_truth,0.9,1,4,1.0,1.0,1.0
commit_label_90,Label 0.90,HipXRay,ground_truth,0.9,2,4,1.3312225852143753,1.021380069632444,1.6410651007963064
commit_label_90,Label 0.90,HipXRay,ground_truth,0.9,4,4,0.9481431357563612,0.6199472658554737,1.2763390056572488
commit_label_90,Label 0.90,HipXRay,ground_truth,0.9,8,4,0.4334453950582117,0.20387939083642476,0.6630113992799986
commit_label_90,Label 0.90,HipXRay,ground_truth,0.9,10,4,0.0,0.0,0.0
commit_label_90,Label 0.90,SCR,ground_truth,0.9,0,20,0.8853134794519365,0.7373907457178436,1.0270548042049155
commit_label_90,Label 0.90,SCR,ground_truth,0.9,1,20,1.0,1.0,1.0
commit_label_90,Label 0.90,SCR,ground_truth,0.9,2,20,0.8444286916535926,0.7443603033351215,0.9346645479274069
commit_label_90,Label 0.90,SCR,ground_truth,0.9,4,20,0.7713543269331277,0.6458195552655437,0.8995604065107504
commit_label_90,Label 0.90,SCR,ground_truth,0.9,8,20,0.6076590675335127,0.4455593806571721,0.769951158058288
commit_label_90,Label 0.90,SCR,ground_truth,0.9,10,20,0.4507833356657809,0.2742375831283864,0.6474650639425418
commit_label_90,Label 0.90,T1mix,ground_truth,0.9,0,35,0.7414419677491684,0.6333831997885999,0.8442797019638931
commit_label_90,Label 0.90,T1mix,ground_truth,0.9,1,35,1.0,1.0,1.0
commit_label_90,Label 0.90,T1mix,ground_truth,0.9,2,35,0.9221370199710697,0.8326432020671024,1.0053504804247522
commit_label_90,Label 0.90,T1mix,ground_truth,0.9,4,35,0.8005360080608926,0.6961467889731322,0.9018579965722601
commit_label_90,Label 0.90,T1mix,ground_truth,0.9,8,35,0.6530373219952689,0.5474072574092386,0.7614835915853428
commit_label_90,Label 0.90,T1mix,ground_truth,0.9,10,35,0.5104170459253292,0.40878028356908797,0.6164828659514683
commit_label_97,Label 0.97,ACDC,ground_truth,0.97,0,6,0.8195170227531244,0.2543925758272702,1.5735562733588015
commit_label_97,Label 0.97,ACDC,ground_truth,0.97,1,6,0.8333333333333334,0.5,1.0
commit_label_97,Label 0.97,ACDC,ground_truth,0.97,2,6,0.7313808177048983,0.30289155859703754,1.1463077587526918
commit_label_97,Label 0.97,ACDC,ground_truth,0.97,4,6,0.5376474356905551,0.20158266581176396,0.8737122055693461
commit_label_97,Label 0.97,ACDC,ground_truth,0.97,8,6,0.5294298060585553,0.20398540235635906,0.8474277681355269
commit_label_97,Label 0.97,ACDC,ground_truth,0.97,10,6,0.3996687162468476,0.14696998712190132,0.6523674453717939
commit_label_97,Label 0.97,BTCV,ground_truth,0.97,0,18,0.7975340615533594,0.6497203719873829,0.960330886627568
commit_label_97,Label 0.97,BTCV,ground_truth,0.97,1,18,1.0,1.0,1.0
commit_label_97,Label 0.97,BTCV,ground_truth,0.97,2,18,0.7593356333405259,0.6805804349918915,0.8426537550621153
commit_label_97,Label 0.97,BTCV,ground_truth,0.97,4,18,0.7061680366728538,0.6120903962779726,0.8091469955876857
commit_label_97,Label 0.97,BTCV,ground_truth,0.97,8,18,0.6345210275562,0.5402541064915283,0.7277967738940384
commit_label_97,Label 0.97,BTCV,ground_truth,0.97,10,18,0.6148645821461027,0.5157960197281745,0.7142168554395883
commit_label_97,Label 0.97,HipXRay,ground_truth,0.97,0,4,0.4364905769687894,0.3349187901931115,0.5380623637444673
commit_label_97,Label 0.97,HipXRay,ground_truth,0.97,1,4,1.0,1.0,1.0
commit_label_97,Label 0.97,HipXRay,ground_truth,0.97,2,4,0.8363023438493827,0.7731188478562463,0.8994858398425191
commit_label_97,Label 0.97,HipXRay,ground_truth,0.97,4,4,0.6097984295788282,0.4527991015392697,0.7667977576183868
commit_label_97,Label 0.97,HipXRay,ground_truth,0.97,8,4,0.40787947259162927,0.33121358261212275,0.4845453625711358
commit_label_97,Label 0.97,HipXRay,ground_truth,0.97,10,4,0.2532241822132803,0.18018952846170133,0.3262588359648593
commit_label_97,Label 0.97,SCR,ground_truth,0.97,0,20,0.7947431464246508,0.6815408859815523,0.9005254974344835
commit_label_97,Label 0.97,SCR,ground_truth,0.97,1,20,1.0,1.0,1.0
commit_label_97,Label 0.97,SCR,ground_truth,0.97,2,20,0.9286029197160157,0.846597202646072,1.018342714518237
