task,family,commit_type,dice_cutoff,context_size,iqr,iqr_rel
ACDC — ACDC_Challenge2017_MRI_2_label0_maxslice_idx624,ACDC,ground_truth,0.9,0,0.00327021181583409,0.6319209330744974
ACDC — ACDC_Challenge2017_MRI_2_label0_maxslice_idx624,ACDC,ground_truth,0.9,1,0.005175033211708091,1.0
ACDC — ACDC_Challenge2017_MRI_2_label0_maxslice_idx624,ACDC,ground_truth,0.9,2,0.003927949070930525,0.7590191038859153
ACDC — ACDC_Challenge2017_MRI_2_label0_maxslice_idx624,ACDC,ground_truth,0.9,4,0.004245355725288391,0.8203533294595327
ACDC — ACDC_Challenge2017_MRI_2_label0_maxslice_idx624,ACDC,ground_truth,0.9,8,0.0008008986711501853,0.15476203502196223
ACDC — ACDC_Challenge2017_MRI_2_label0_maxslice_idx624,ACDC,ground_truth,0.9,10,0.00045145750045771926,0.08723760447301739
ACDC — ACDC_Challenge2017_MRI_2_label0_midslice_idx0,ACDC,ground_truth,0.9,0,0.001158314943313532,0.798383783606056
ACDC — ACDC_Challenge2017_MRI_2_label0_midslice_idx0,ACDC,ground_truth,0.9,1,0.0014508247375488725,1.0
ACDC — ACDC_Challenge2017_MRI_2_label0_midslice_idx0,ACDC,ground_truth,0.9,2,0.0014079809188842773,0.9704693354367677
ACDC — ACDC_Challenge2017_MRI_2_label0_midslice_idx0,ACDC,ground_truth,0.9,4,0.0013548821210861428,0.9338702918556365
ACDC — ACDC_Challenge2017_MRI_2_label0_midslice_idx0,ACDC,ground_truth,0.9,8,0.0015154272317886575,1.0445281173995757
ACDC — ACDC_Challenge2017_MRI_2_label0_midslice_idx0,ACDC,ground_truth,0.9,10,0.0013756781816482988,0.948204249654902
ACDC — ACDC_Challenge2017_MRI_2_label1_maxslice_idx625,ACDC,ground_truth,0.9,0,0.004304873943328902,0.7690337006867992
ACDC — ACDC_Challenge2017_MRI_2_label1_maxslice_idx625,ACDC,ground_truth,0.9,1,0.0055977702140808105,1.0
ACDC — ACDC_Challenge2017_MRI_2_label1_maxslice_idx625,ACDC,ground_truth,0.9,2,0.006270676851272694,1.1202097641484519
ACDC — ACDC_Challenge2017_MRI_2_label1_maxslice_idx625,ACDC,ground_truth,0.9,4,0.005488878488540627,0.9805473034126564
ACDC — ACDC_Challenge2017_MRI_2_label1_maxslice_idx625,ACDC,ground_truth,0.9,8,0.006391540169715992,1.1418010967364305
ACDC — ACDC_Challenge2017_MRI_2_label1_maxslice_idx625,ACDC,ground_truth,0.9,10,0.0030253946781158003,0.5404642495873849
ACDC — ACDC_Challenge2017_MRI_2_label1_midslice_idx1,ACDC,ground_truth,0.9,0,0.01591708064079289,2.561299619945097
ACDC — ACDC_Challenge2017_MRI_2_label1_midslice_idx1,ACDC,ground_truth,0.9,1,0.006214454770088196,1.0
ACDC — ACDC_Challenge2017_MRI_2_label1_midslice_idx1,ACDC,ground_truth,0.9,2,0.00824132859706872,1.3261547315037838
ACDC — ACDC_Challenge2017_MRI_2_label1_midslice_idx1,ACDC,ground_truth,0.9,4,0.0032859265804290327,0.5287554100876333
ACDC — ACDC_Challenge2017_MRI_2_label1_midslice_idx1,ACDC,ground_truth,0.9,8,0.003838571906089716,0.617684422544319
ACDC — ACDC_Challenge2017_MRI_2_label1_midslice_idx1,ACDC,ground_truth,0.9,10,0.0022938728332519975,0.3691189200206284
ACDC — ACDC_Challenge2017_MRI_2_label2_maxslice_idx626,ACDC,ground_truth,0.9,0,0.0015782356262207253,0.5530176055271806
ACDC — ACDC_Challenge2017_MRI_2_label2_maxslice_idx626,ACDC,ground_truth,0.9,1,0.0028538614511489646,1.0
ACDC — ACDC_Challenge2017_MRI_2_label2_maxslice_idx626,ACDC,ground_truth,0.9,2,0.004282370209693909,1.5005529465944558
ACDC — ACDC_Challenge2017_MRI_2_label2_maxslice_idx626,ACDC,ground_truth,0.9,4,0.0032894939184189287,1.1526466770468407
ACDC — ACDC_Challenge2017_MRI_2_label2_maxslice_idx626,ACDC,ground_truth,0.9,8,0.003142660856246926,1.1011960146073982
ACDC — ACDC_Challenge2017_MRI_2_label2_maxslice_idx626,ACDC,ground_truth,0.9,10,0.002423354983329684,0.8491494856395504
ACDC — ACDC_Challenge2017_MRI_2_label2_midslice_idx2,ACDC,ground_truth,0.9,0,0.0019166171550750732,0.9366793623513476
ACDC — ACDC_Challenge2017_MRI_2_label2_midslice_idx2,ACDC,ground_truth,0.9,1,0.0020461827516555786,1.0
ACDC — ACDC_Challenge2017_MRI_2_label2_midslice_idx2,ACDC,ground_truth,0.9,2,0.001718759536743164,0.8399833960835148
ACDC — ACDC_Challenge2017_MRI_2_label2_midslice_idx2,ACDC,ground_truth,0.9,4,0.0013354301452636053,0.6526446106454082
ACDC — ACDC_Challenge2017_MRI_2_label2_midslice_idx2,ACDC,ground_truth,0.9,8,0.0018177151679993342,0.8883444875725837
ACDC — ACDC_Challenge2017_MRI_2_label2_midslice_idx2,ACDC,ground_truth,0.9,10,0.002138519287109397,1.045126240742235
BTCV — BTCV_Cervix_CT_0_label0_maxslice_idx640,BTCV,ground_truth,0.9,0,0.0038574814796447088,0.43721566841818904
BTCV — BTCV_Cervix_CT_0_label0_maxslice_idx640,BTCV,ground_truth,0.9,1,0.008822834491729825,1.0
BTCV — BTCV_Cervix_CT_0_label0_maxslice_idx640,BTCV,ground_truth,0.9,2,0.005809777975082309,0.658493365202324
BTCV — BTCV_Cervix_CT_0_label0_maxslice_idx640,BTCV,ground_truth,0.9,4,0.0032544702291488203,0.3688690105429759
BTCV — BTCV_Cervix_CT_0_label0_maxslice_idx640,BTCV,ground_truth,0.9,8,0.001990723609924361,0.2256331127814294
BTCV — BTCV_Cervix_CT_0_label0_maxslice_idx640,BTCV,ground_truth,0.9,10,0.0015560567378998247,0.1763669872033087
BTCV — BTCV_Cervix_CT_0_label0_midslice_idx24,BTCV,ground_truth,0.9,0,0.0018765509128571,0.4346249923210048
BTCV — BTCV_Cervix_CT_0_label0_midslice_idx24,BTCV,ground_truth,0.9,1,0.004317632317543119,1.0
BTCV — BTCV_Cervix_CT_0_label0_midslice_idx24,BTCV,ground_truth,0.9,2,0.004029691219329834,0.9333104171368781
BTCV — BTCV_Cervix_CT_0_label0_midslice_idx24,BTCV,ground_truth,0.9,4,0.0037989169359207153,0.87986114993748
BTCV — BTCV_Cervix_CT_0_label0_midslice_idx24,BTCV,ground_truth,0.9,8,0.0029660671949386375,0.6869661371782653
BTCV — BTCV_Cervix_CT_0_label0_midslice_idx24,BTCV,ground_truth,0.9,10,0.0011335045099258867,0.26252918881496834
BTCV — BTCV_Cervix_CT_0_label1_maxslice_idx641,BTCV,ground_truth,0.9,0,0.00306510031223306,0.6955381766686355
BTCV — BTCV_Cervix_CT_0_label1_maxslice_idx641,BTCV,ground_truth,0.9,1,0.004406803846359275,1.0
BTCV — BTCV_Cervix_CT_0_label1_maxslice_idx641,BTCV,ground_truth,0.9,2,0.0051465630531309925,1.1678675140902577
BTCV — BTCV_Cervix_CT_0_label1_maxslice_idx641,BTCV,ground_truth,0.9,4,0.003869807720184415,0.8781438555250185
