task,family,commit_type,dice_cutoff,context_size,iqr,iqr_rel
ACDC — ACDC_Challenge2017_MRI_2_label0_maxslice_idx624,ACDC,ground_truth,0.9,0,0.0,0.0
ACDC — ACDC_Challenge2017_MRI_2_label0_maxslice_idx624,ACDC,ground_truth,0.9,1,0.37430379723637425,1.0
ACDC — ACDC_Challenge2017_MRI_2_label0_maxslice_idx624,ACDC,ground_truth,0.9,2,0.3127755209803581,0.8356194174082588
ACDC — ACDC_Challenge2017_MRI_2_label0_maxslice_idx624,ACDC,ground_truth,0.9,4,0.021578308939933843,0.05764918523203509
ACDC — ACDC_Challenge2017_MRI_2_label0_maxslice_idx624,ACDC,ground_truth,0.9,8,0.0017892122268675648,0.004780107068317211
ACDC — ACDC_Challenge2017_MRI_2_label0_maxslice_idx624,ACDC,ground_truth,0.9,10,0.0,0.0
ACDC — ACDC_Challenge2017_MRI_2_label0_midslice_idx0,ACDC,ground_truth,0.9,0,0.0,0.0
ACDC — ACDC_Challenge2017_MRI_2_label0_midslice_idx0,ACDC,ground_truth,0.9,1,0.13121387678781232,1.0
ACDC — ACDC_Challenge2017_MRI_2_label0_midslice_idx0,ACDC,ground_truth,0.9,2,0.16098508913593879,1.2268907304390517
ACDC — ACDC_Challenge2017_MRI_2_label0_midslice_idx0,ACDC,ground_truth,0.9,4,0.08944751918315896,0.6816925265290783
ACDC — ACDC_Challenge2017_MRI_2_label0_midslice_idx0,ACDC,ground_truth,0.9,8,0.016664958000183083,0.12700606374988985
ACDC — ACDC_Challenge2017_MRI_2_label0_midslice_idx0,ACDC,ground_truth,0.9,10,0.0,0.0
ACDC — ACDC_Challenge2017_MRI_2_label1_maxslice_idx625,ACDC,ground_truth,0.9,0,0.0,0.0
ACDC — ACDC_Challenge2017_MRI_2_label1_maxslice_idx625,ACDC,ground_truth,0.9,1,0.11387947201728815,1.0
ACDC — ACDC_Challenge2017_MRI_2_label1_maxslice_idx625,ACDC,ground_truth,0.9,2,0.0512499138712883,0.4500364548889724
ACDC — ACDC_Challenge2017_MRI_2_label1_maxslice_idx625,ACDC,ground_truth,0.9,4,0.04910120368003845,0.43116817113960937
ACDC — ACDC_Challenge2017_MRI_2_label1_maxslice_idx625,ACDC,ground_truth,0.9,8,0.021110078692436196,0.1853721159616147
ACDC — ACDC_Challenge2017_MRI_2_label1_maxslice_idx625,ACDC,ground_truth,0.9,10,0.0,0.0
ACDC — ACDC_Challenge2017_MRI_2_label1_midslice_idx1,ACDC,ground_truth,0.9,0,0.0,0.0
ACDC — ACDC_Challenge2017_MRI_2_label1_midslice_idx1,ACDC,ground_truth,0.9,1,0.1146230798162397,1.0
ACDC — ACDC_Challenge2017_MRI_2_label1_midslice_idx1,ACDC,ground_truth,0.9,2,0.11488544940948486,1.0022889769989236
ACDC — ACDC_Challenge2017_MRI_2_label1_midslice_idx1,ACDC,ground_truth,0.9,4,0.0861328810453415,0.7514444838110018
ACDC — ACDC_Challenge2017_MRI_2_label1_midslice_idx1,ACDC,ground_truth,0.9,8,0.033408208191394784,0.2914614425380458
ACDC — ACDC_Challenge2017_MRI_2_label1_midslice_idx1,ACDC,ground_truth,0.9,10,0.0,0.0
ACDC — ACDC_Challenge2017_MRI_2_label2_maxslice_idx626,ACDC,ground_truth,0.9,0,0.0,0.0
ACDC — ACDC_Challenge2017_MRI_2_label2_maxslice_idx626,ACDC,ground_truth,0.9,1,0.047258532047271706,1.0
ACDC — ACDC_Challenge2017_MRI_2_label2_maxslice_idx626,ACDC,ground_truth,0.9,2,0.018886339664459295,0.39963872863354477
ACDC — ACDC_Challenge2017_MRI_2_label2_maxslice_idx626,ACDC,ground_truth,0.9,4,0.012064987421035678,0.25529754942382316
ACDC — ACDC_Challenge2017_MRI_2_label2_maxslice_idx626,ACDC,ground_truth,0.9,8,0.010058629512786799,0.2128426143817875
ACDC — ACDC_Challenge2017_MRI_2_label2_maxslice_idx626,ACDC,ground_truth,0.9,10,0.0,0.0
ACDC — ACDC_Challenge2017_MRI_2_label2_midslice_idx2,ACDC,ground_truth,0.9,0,0.0,0.0
ACDC — ACDC_Challenge2017_MRI_2_label2_midslice_idx2,ACDC,ground_truth,0.9,1,0.11578975319862361,1.0
ACDC — ACDC_Challenge2017_MRI_2_label2_midslice_idx2,ACDC,ground_truth,0.9,2,0.030255794525146484,0.2612994128525885
ACDC — ACDC_Challenge2017_MRI_2_label2_midslice_idx2,ACDC,ground_truth,0.9,4,0.017960108816623688,0.15510965625615633
ACDC — ACDC_Challenge2017_MRI_2_label2_midslice_idx2,ACDC,ground_truth,0.9,8,0.0059421911835670915,0.05131879997510631
ACDC — ACDC_Challenge2017_MRI_2_label2_midslice_idx2,ACDC,ground_truth,0.9,10,0.0,0.0
BTCV — BTCV_Cervix_CT_0_label0_maxslice_idx640,BTCV,ground_truth,0.9,0,0.0,0.0
BTCV — BTCV_Cervix_CT_0_label0_maxslice_idx640,BTCV,ground_truth,0.9,1,0.14453693627635777,1.0
BTCV — BTCV_Cervix_CT_0_label0_maxslice_idx640,BTCV,ground_truth,0.9,2,0.1124717850238085,0.7781525464796071
BTCV — BTCV_Cervix_CT_0_label0_maxslice_idx640,BTCV,ground_truth,0.9,4,0.10933579765260215,0.7564557577417423
BTCV — BTCV_Cervix_CT_0_label0_maxslice_idx640,BTCV,ground_truth,0.9,8,0.059381389617919944,0.4108388564732093
BTCV — BTCV_Cervix_CT_0_label0_maxslice_idx640,BTCV,ground_truth,0.9,10,0.0,0.0
BTCV — BTCV_Cervix_CT_0_label0_midslice_idx24,BTCV,ground_truth,0.9,0,0.0,0.0
BTCV — BTCV_Cervix_CT_0_label0_midslice_idx24,BTCV,ground_truth,0.9,1,0.46811642237007617,1.0
BTCV — BTCV_Cervix_CT_0_label0_midslice_idx24,BTCV,ground_truth,0.9,2,0.0530204936861991,0.11326347710203379
BTCV — BTCV_Cervix_CT_0_label0_midslice_idx24,BTCV,ground_truth,0.9,4,0.03887573778629305,0.08304715649467063
