variant,family,commit_type,dice_cutoff,context_size,n_tasks,iqr_rel_mean,iqr_rel_ci_lo,iqr_rel_ci_hi
commit_label_90,ACDC,ground_truth,0.9,1,6,1.0,1.0,1.0
commit_label_90,ACDC,ground_truth,0.9,2,6,0.6959622868702233,0.43458869254491633,0.9841660827087232
commit_label_90,ACDC,ground_truth,0.9,4,6,0.38872692873195064,0.18578513761389348,0.6126315981458835
commit_label_90,ACDC,ground_truth,0.9,8,6,0.14546352394579357,0.06879143908223598,0.2253136412237872
commit_label_90,ACDC,ground_truth,0.9,10,6,0.0,0.0,0.0
commit_label_90,BTCV,ground_truth,0.9,1,18,1.0,1.0,1.0
commit_label_90,BTCV,ground_truth,0.9,2,18,0.6228705313240561,0.4695285278025218,0.7943128045841725
commit_label_90,BTCV,ground_truth,0.9,4,18,0.42927725533502853,0.31005207389519135,0.5766782120207659
commit_label_90,BTCV,ground_truth,0.9,8,18,0.18777734465782758,0.1275126089139369,0.2585201040530116
commit_label_90,BTCV,ground_truth,0.9,10,18,0.0,0.0,0.0
commit_label_90,BUID,ground_truth,0.9,1,4,1.0,1.0,1.0
commit_label_90,BUID,ground_truth,0.9,2,4,0.606927701759163,0.5513356741933111,0.6625197293250149
commit_label_90,BUID,ground_truth,0.9,4,4,0.3448608159251108,0.3102518978148204,0.37946973403540124
commit_label_90,BUID,ground_truth,0.9,8,4,0.09641732951043097,0.07813844652415546,0.11469621249670647
commit_label_90,BUID,ground_truth,0.9,10,4,0.0,0.0,0.0
commit_label_90,HipXRay,ground_truth,0.9,1,4,1.0,1.0,1.0
commit_label_90,HipXRay,ground_truth,0.9,2,4,0.8477038534915622,0.6740276373506802,1.021380069632444
commit_label_90,HipXRay,ground_truth,0.9,4,4,0.5383615492197487,0.45677583258402366,0.6199472658554737
commit_label_90,HipXRay,ground_truth,0.9,8,4,0.1161496634508219,0.028419936065219056,0.20387939083642476
commit_label_90,HipXRay,ground_truth,0.9,10,4,0.0,0.0,0.0
commit_label_90,PanDental,ground_truth,0.9,1,4,1.0,1.0,1.0
commit_label_90,PanDental,ground_truth,0.9,2,4,0.43333196101112564,0.4054789825774184,0.46118493944483296
commit_label_90,PanDental,ground_truth,0.9,4,4,1.1067655660965654,0.15105420486884544,2.0624769273242856
commit_label_90,PanDental,ground_truth,0.9,8,4,0.3750337789234133,0.05515497045273274,0.6949125873940938
commit_label_90,PanDental,ground_truth,0.9,10,4,0.0,0.0,0.0
commit_label_90,SCD,ground_truth,0.9,1,4,1.0,1.0,1.0
commit_label_90,SCD,ground_truth,0.9,2,4,0.23682659494517394,0.14871091093764602,0.31989136594569223
commit_label_90,SCD,ground_truth,0.9,4,4,0.1475892870196615,0.07844397727390237,0.21884960705861758
commit_label_90,SCD,ground_truth,0.9,8,4,0.06973514770678119,0.03170862371777232,0.10209333250753445
commit_label_90,SCD,ground_truth,0.9,10,4,0.0,0.0,0.0
commit_label_90,SCR,ground_truth,0.9,1,20,1.0,1.0,1.0
commit_label_90,SCR,ground_truth,0.9,2,20,0.574451125013414,0.46762171647696293,0.685301766440961
commit_label_90,SCR,ground_truth,0.9,4,20,0.3976864652993558,0.319290429741446,0.4758598120124378
commit_label_90,SCR,ground_truth,0.9,8,20,0.0979557697015861,0.07828086014918217,0.11576361245568575
commit_label_90,SCR,ground_truth,0.9,10,20,0.0,0.0,0.0
commit_label_90,T1mix,ground_truth,0.9,1,35,1.0,1.0,1.0
commit_label_90,T1mix,ground_truth,0.9,2,35,0.8196283679950943,0.7068087617382544,0.9492981016191918
commit_label_90,T1mix,ground_truth,0.9,4,35,0.4819952027738369,0.4011509232145577,0.5678509884403068
commit_label_90,T1mix,ground_truth,0.9,8,35,0.23115068732989258,0.1839324946179932,0.28428159204875186
